x_m,p_over_rho_m2_s2
7.062000,4.207334
7.068000,4.207218
7.074000,4.207102
7.080000,4.206986
7.086000,4.206870
7.092000,4.206754
7.098000,4.206639
7.104000,4.206523
7.110000,4.206407
7.116000,4.206291
7.122000,4.206175
7.128000,4.206059
7.134000,4.205944
7.140000,4.205828
7.146000,4.205712
7.152000,4.205596
7.158000,4.205480
7.164000,4.205365
7.170000,4.205249
7.176000,4.205133
7.182000,4.205017
7.188000,4.204901
7.194000,4.204785
7.200000,4.204670
7.206000,4.204554
7.212000,4.204438
7.218000,4.204322
7.224000,4.204206
7.230000,4.204090
7.236000,4.203975
7.242000,4.203859
7.248000,4.203743
7.254000,4.203627
7.260000,4.203511
7.266000,4.203396
7.272000,4.203280
7.278000,4.203164
7.284000,4.203048
7.290000,4.202932
7.296000,4.202816
7.302000,4.202701
7.308000,4.202585
7.314000,4.202469
7.320000,4.202353
7.326000,4.202237
7.332000,4.202121
7.338000,4.202006
7.344000,4.201890
7.350000,4.201774
7.356000,4.201658
7.362000,4.201542
7.368000,4.201427
7.374000,4.201311
7.380000,4.201195
7.386000,4.201079
7.392000,4.200963
7.398000,4.200847
7.404000,4.200732
7.410000,4.200616
7.416000,4.200500
7.422000,4.200384
7.428000,4.200268
7.434000,4.200152
7.440000,4.200037
7.446000,4.199921
7.452000,4.199805
7.458000,4.199689
7.464000,4.199573
7.470000,4.199458
7.476000,4.199342
7.482000,4.199226
7.488000,4.199110
7.494000,4.198994
7.500000,4.198878
7.506000,4.198763
7.512000,4.198647
7.518000,4.198531
7.524000,4.198415
7.530000,4.198299
7.536000,4.198183
7.542000,4.198068
7.548000,4.197952
7.554000,4.197836
7.560000,4.197720
7.566000,4.197604
7.572000,4.197489
7.578000,4.197373
7.584000,4.197257
7.590000,4.197141
7.596000,4.197025
7.602000,4.196909
7.608000,4.196794
7.614000,4.196678
7.620000,4.196562
7.626000,4.196446
7.632000,4.196330
7.638000,4.196214
7.644000,4.196099
7.650000,4.195983
7.656000,4.195867
7.662000,4.195751
7.668000,4.195635
7.674000,4.195520
7.680000,4.195404
7.686000,4.195288
7.692000,4.195172
7.698000,4.195056
7.704000,4.194940
7.710000,4.194825
7.716000,4.194709
7.722000,4.194593
7.728000,4.194477
7.734000,4.194361
7.740000,4.194245
7.746000,4.194130
7.752000,4.194014
7.758000,4.193898
7.764000,4.193782
7.770000,4.193666
7.776000,4.193551
7.782000,4.193435
7.788000,4.193319
7.794000,4.193203
7.800000,4.193087
7.806000,4.192971
7.812000,4.192856
7.818000,4.192740
7.824000,4.192624
7.830000,4.192508
7.836000,4.192392
7.842000,4.192276
7.848000,4.192161
7.854000,4.192045
7.860000,4.191929
7.866000,4.191813
7.872000,4.191697
7.878000,4.191582
7.884000,4.191466
7.890000,4.191350
7.896000,4.191234
7.902000,4.191118
7.908000,4.191002
7.914000,4.190887
7.920000,4.190771
7.926000,4.190655
7.932000,4.190539
7.938000,4.190423
7.944000,4.190307
7.950000,4.190192
7.956000,4.190076
7.962000,4.189960
7.968000,4.189844
7.974000,4.189728
7.980000,4.189613
7.986000,4.189497
7.992000,4.189381
7.998000,4.189265
8.004000,4.189149
8.010000,4.189033
8.016000,4.188918
8.022000,4.188802
8.028000,4.188686
8.034000,4.188570
8.040000,4.188454
8.046000,4.188339
8.052000,4.188223
8.058000,4.188107
8.064000,4.187991
8.070000,4.187875
8.076000,4.187759
8.082000,4.187644
8.088000,4.187528
8.094000,4.187412
8.100000,4.187296
8.106000,4.187180
8.112000,4.187064
8.118000,4.186949
8.124000,4.186833
8.130000,4.186717
8.136000,4.186601
8.142000,4.186485
8.148000,4.186370
8.154000,4.186254
8.160000,4.186138
8.166000,4.186022
8.172000,4.185906
8.178000,4.185790
