station,x,r,Ux,Ur,Uz,k,epsilon,nut
expansion_4D,2.6,0.049565287,0.56323487,3.3265235e-06,-3.9109299e-13,0.013047215,1.63714,1.22511e-06
expansion_4D,2.6,0.049545336,0.58908162,3.6235757e-06,-4.2005366e-13,0.014324082,1.7699411,1.3940825e-06
expansion_4D,2.6,0.049524402,0.61620392,3.9352877e-06,-4.5044355e-13,0.015663963,1.909296,1.5713939e-06
expansion_4D,2.6,0.049502434,0.64315936,4.2473803e-06,-5.7213352e-13,0.016995339,2.0477489,1.7475638e-06
expansion_4D,2.6,0.049479382,0.67109243,4.5713605e-06,-7.2086483e-13,0.018374938,2.1912121,1.9301105e-06
expansion_4D,2.6,0.049455193,0.69655878,5.0497042e-06,-6.2857057e-13,0.019977124,2.3378735,2.5128865e-06
expansion_4D,2.6,0.049429809,0.72224975,5.5887975e-06,-4.6505408e-13,0.02169985,2.4907307,3.229436e-06
expansion_4D,2.6,0.049403173,0.74744768,6.1146873e-06,-4.8318507e-13,0.02338961,2.6406731,3.9323269e-06
expansion_4D,2.6,0.049375223,0.77378937,6.6642743e-06,-5.1296078e-13,0.025156074,2.7974227,4.667128e-06
expansion_4D,2.6,0.049345893,0.80143102,7.2409835e-06,-5.4420592e-13,0.027009714,2.9619078,5.4381919e-06
expansion_4D,2.6,0.049315116,0.8304368,7.8461536e-06,-5.7699303e-13,0.028954832,3.1345104,6.247308e-06
expansion_4D,2.6,0.04928282,0.86087402,8.481189e-06,-6.1139819e-13,0.030995941,3.315631,7.0963542e-06
expansion_4D,2.6,0.04924893,0.89111339,9.1168707e-06,-8.2997597e-13,0.033023686,3.4955548,7.9397852e-06
expansion_4D,2.6,0.049213367,0.92002721,9.8212225e-06,-9.3781985e-13,0.034812627,3.6285884,8.9465237e-06
expansion_4D,2.6,0.04917605,0.94441346,1.0668109e-05,-6.5495646e-13,0.035924599,3.6375422,1.0325905e-05
expansion_4D,2.6,0.049136891,0.96846511,1.1500281e-05,-6.4147808e-13,0.037021228,3.6463389,1.1686449e-05
expansion_4D,2.6,0.049095799,0.99347222,1.2365017e-05,-6.6997809e-13,0.038161408,3.6554795,1.3101057e-05
